participant_code,study_version,submission_number,age,freek_familiarity,item_id,topic_id,condition_code,pipeline_family,display_position,funniness,coherence,freek_similarity,comment
P01,acl-1,1,27,1,T01-C1,T01,C1,script_opposition,11,2,3,2,
P01,acl-1,1,27,1,T02-E1,T02,E1,validated_gtvh,7,1,1,1,
P01,acl-1,1,27,1,T03-C1,T03,C1,script_opposition,12,1,1,1,
P01,acl-1,1,27,1,T04-C2,T04,C2,script_opposition,1,1,1,1,
P01,acl-1,1,27,1,T05-E2,T05,E2,validated_gtvh,3,1,1,1,
P01,acl-1,1,27,1,T06-C2,T06,C2,script_opposition,20,3,4,3,
P01,acl-1,1,27,1,T07-A1,T07,A1,baseline,14,2,3,2,-
P01,acl-1,1,27,1,T08-C2,T08,C2,script_opposition,18,2,2,2,
P01,acl-1,1,27,1,T09-A2,T09,A2,baseline,8,4,4,3,
P01,acl-1,1,27,1,T10-E1,T10,E1,validated_gtvh,17,1,1,1,
P01,acl-1,1,27,1,T11-A1,T11,A1,baseline,16,4,2,1,
P01,acl-1,1,27,1,T12-E2,T12,E2,validated_gtvh,9,2,2,2,
P01,acl-1,1,27,1,T13-A2,T13,A2,baseline,13,2,3,2,
P01,acl-1,1,27,1,T14-A2,T14,A2,baseline,4,3,4,2,
P01,acl-1,1,27,1,T15-A1,T15,A1,baseline,5,5,5,4,
P01,acl-1,1,27,1,T16-C2,T16,C2,script_opposition,2,1,2,1,
P01,acl-1,1,27,1,T17-A1,T17,A1,baseline,6,2,2,2,
P01,acl-1,1,27,1,T18-E1,T18,E1,validated_gtvh,15,1,1,1,
P01,acl-1,1,27,1,T19-E2,T19,E2,validated_gtvh,10,1,1,1,
P01,acl-1,1,27,1,T20-C1,T20,C1,script_opposition,19,1,1,1,
P02,acl-1,1,39,3,T01-A2,T01,A2,baseline,13,3,5,4,
P02,acl-1,1,39,3,T02-C2,T02,C2,script_opposition,3,1,3,1,Dit deed mij nergens denken aan humor.
P02,acl-1,1,39,3,T03-A2,T03,A2,baseline,4,4,5,4,
P02,acl-1,1,39,3,T04-C1,T04,C1,script_opposition,17,3,4,3,
P02,acl-1,1,39,3,T05-E1,T05,E1,validated_gtvh,12,1,1,1,
P02,acl-1,1,39,3,T06-C1,T06,C1,script_opposition,1,2,2,3,"Eerlijk gezegd snap ik het einde niet helemaal. Dit kan persoonlijk zijn, maar het maakt de grap voor mij minder goed."
P02,acl-1,1,39,3,T07-E2,T07,E2,validated_gtvh,16,2,2,2,
P02,acl-1,1,39,3,T08-C1,T08,C1,script_opposition,8,2,2,1,
P02,acl-1,1,39,3,T09-A1,T09,A1,baseline,9,4,5,3,
