study_version,group_id,group_title,variant_id,variant_role,text
pilot-1,G01,Het gemeenteloket,G01-V01,baseline,"Bij het gemeenteloket vroeg ik om een bewijs dat ik bestond. Ze wilden eerst een geldig bewijs van mijn bestaan zien."
pilot-1,G01,Het gemeenteloket,G01-V02,concise,"De gemeente bevestigt graag dat ik besta zodra ik bewijs dat ik besta."
pilot-1,G01,Het gemeenteloket,G01-V03,wordplay,"Voor een uittreksel uit de bevolking moest ik vooral heel ingetogen binnenkomen."
pilot-1,G01,Het gemeenteloket,G01-V04,absurdist,"Het loket gaf me nummer 84. Ik was alleen in de zaal maar nummer 83 bleek al drie jaar met lunchpauze."
pilot-1,G01,Het gemeenteloket,G01-V05,social_critique,"De gemeente noemt het dienstverlening omdat onderwerping al op een ander formulier stond."
pilot-1,G01,Het gemeenteloket,G01-V06,narrative,"Na vier loketten kwam ik terug bij de eerste medewerker. Ze glimlachte alsof ik de gemeentelijke rondleiding had voltooid."
pilot-1,G01,Het gemeenteloket,G01-V07,self_reflexive,"Ik wilde een grap over bureaucratie aanvragen maar deze tekst mist nog de handtekening van de grap zelf."
pilot-1,G01,Het gemeenteloket,G01-V08,linguistic_turn,"De ambtenaar zei dat mijn aanvraag in behandeling was. Ik vroeg of de behandeling door de verzekering werd vergoed."
pilot-1,G02,De vertraagde trein,G02-V01,baseline,"De trein had tien minuten vertraging. De omroep noemde dat een kleine wijziging in mijn toekomst."
pilot-1,G02,De vertraagde trein,G02-V02,concise,"De trein reed op tijd weg uit gisteren."
pilot-1,G02,De vertraagde trein,G02-V03,wordplay,"Mijn intercity had geen haast. Hij was meer een innerlijke city."
pilot-1,G02,De vertraagde trein,G02-V04,absurdist,"Na een uur wachten kwam er een trein aan die zich verontschuldigde omdat hij eigenlijk een bus droomde te zijn."
pilot-1,G02,De vertraagde trein,G02-V05,social_critique,"Op het perron leerde ik dat openbaar vervoer vooral betekent dat je vertraging openbaar wordt meegedeeld."
pilot-1,G02,De vertraagde trein,G02-V06,narrative,"Ik stapte vroeg in om op tijd te komen. Tegen aankomst was ik zo laat dat ik mezelf bij de uitgang zag vertrekken."
pilot-1,G02,De vertraagde trein,G02-V07,self_reflexive,"Deze grap zou een duidelijke bestemming hebben maar rijdt vandaag niet verder dan de inleiding."
pilot-1,G02,De vertraagde trein,G02-V08,linguistic_turn,"Er was een sein- en wisselstoring. Vooral het wisselen tussen hoop en berusting werkte uitstekend."
pilot-1,G03,De zelfscankassa,G03-V01,baseline,"Bij de zelfscan controleerde een medewerker of ik mijn eigen werk wel eerlijk had uitgevoerd."
pilot-1,G03,De zelfscankassa,G03-V02,concise,"Zelfscan: onbetaald kassawerk met een steekproef als functioneringsgesprek."
